name,id,lat,lon,cumulative_revenue,design_capacity,capital_cost,project_type,traffic_per_day,target_traffic_per_day,fee_effective_year
648,4,21.117914,81.122298,30781.84,8770.533537,464,2,22246,22246,2021
51,5,14.90999,75.2798,263.3,8770.533537,317.69,6,25077,25077,2018
244,6,15.76311,74.64785,328.4,8770.533537,996.6,2,27249,27249,2021
179,7,21.214518,81.287962,404.89,15000,123,2,20742,20742,2021
238,8,16.1433,74.51696,164.5,8770.533537,559.49,6,33898,33898,2021
343,9,16.5422,74.31825,282.87,8770.533537,559.49,6,44415,44415,2021
659,10,27.218247,78.272821,100000,120000,1664,2,47978,52995,2021
102,11,12.875095,75.003849,25.57,40000,181.5,6,33886,33886,2021
108,12,25.41629,81.861017,112.23,8770.533537,295.73,6,52993,44368,2021
66,13,25.033921,74.817676,148.05,240,142.4939074,5,10168,7457,2021
19,14,25.09118,75.199063,148.05,240,142.4939074,5,9900,7386,2021
165,15,25.072621,75.598467,148.05,240,142.4939074,5,11617,7262,2021
186,16,25.122,76.572806,63.75,8770.533537,434.63,5,9515,7662,2021
612,17,25.170089,76.130552,63.75,8770.533537,359.94,5,12970,3232,2021
489,18,11.72034,78.07338,439.67,8770.533537,307.6,2,54304,43889,2021
468,19,11.592809,78.780812,302.08,81800,941,2,25484,20530,2021
682,20,11.736464,79.010409,302.08,75000,941,2,36196,15383,2021
499,21,12.00643,78.08042,944.56,28500,525,2,55726,36452,2021
560,22,11.193895,78.103219,190.26,28000,351.25,2,23232,23725,2021
478,23,12.982155,79.968944,227.99,120000,142.4939074,6,91814,32019,2020
273,24,28.836176,78.420749,247.48,8770.533537,275,6,36353,34318,2019
314,25,21.75667,75.156824,524.46,56000,786.39,2,31026,26122,2021
98,26,10.64127,78.581277,308.99,40000,500.31,5,24618,15313,2021
137,27,9.989594,78.244086,308.99,40000,524.44,5,34617,16204,2021
112,29,14.556778,75.728025,208.63,40000,484.08,6,25023,71758,2018
141,30,26.467309,78.010916,100,8770.533537,134.66,5,29310,17668,2021
104,31,28.767149,78.110043,160.8,60000,1983.6,6,46360,30700,2019
664,34,26.036608,79.577976,180.82,8770.533537,465,6,28557,28557,2021
253,35,22.822692,75.938208,191.42,6600,325,2,34246,66792,2021
616,39,29.095601,77.710995,453.6,85,359,2,39206,28138,2021
146,40,25.248275,82.994017,388.9,120000,2848,2,45468,49762,2021
436,41,25.19093,83.559544,263.85,120000,2848,2,39705,49762,2021
586,43,24.957125,83.954997,546.54,120000,2848,2,45705,49762,2021
16,44,26.594931,79.268034,422.19,120000,2251,2,26364,48750,2021
647,45,26.724015,83.274398,52.11,8770.533537,806.57,5,16392,16392,2021
59,47,26.386389,80.021485,237,120000,2251,2,43960,48750,2021
83,48,21.805381,70.663976,384.8,8770.533537,265,2,36824,10660,2020
533,49,22.082642,70.781004,384.8,8770.533537,265,2,25494,12269,2020
139,50,21.303367,72.95418,1178.92,70000,1405.49,2,119377,119377,2021
17,56,17.810312,73.971381,531.4,120000,1724.55,2,47604,60848,2021
430,57,11.66167,78.330768,302.08,85825,941,2,29502,23608,2021
173,58,13.068175,77.3605999,216.37,57707,736,2,29348,25292,2021
652,59,11.396808,78.99356,692.68,40000,460,2,39076,32636,2021
524,64,18.424491,74.466193,378.7,60000,1371,2,47604,32000,2021
